nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
BCAA 8:1:1 180 tabs,,BCAA,13.99,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-811-180-tabs,2026-04-12
BCAA + Glutamine 30 servings,,BCAA,13.49,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-glutamine-30-servings,2026-04-12
Amino Recovery 20 servings,,BCAA,14.99,,,Prozis,https://www.prozis.com/es/es/prozis/amino-recovery-20-servings,2026-04-12
Amino Prime Caffeine Free 20 Servings,,BCAA,14.39,,,Prozis,https://www.prozis.com/es/es/prozis/amino-prime-caffeine-free-20-servings,2026-04-12
BCAA 4:1:1 100 tabs,,BCAA,7.99,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-411-100-tabs,2026-04-12
BCAA 2:1:1 200 tabs,,BCAA,16.19,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-200-tabs,2026-04-12
Amino Prime 20 servings,,BCAA,12.99,,,Prozis,https://www.prozis.com/es/es/prozis/amino-prime-20-servings,2026-04-12
BCAA 8:1:1 360 tabs,,BCAA,26.24,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-811-360-tabs,2026-04-12
2 x Recovery RTD 500 mL Wild Berry,,BCAA,2.86,,,Prozis,https://www.prozis.com/es/es/prozis/2-x-recovery-rtd-500-ml-wild-berry,2026-04-12
BCAA 2:1:1 - 400 tabs,,BCAA,30.76,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-400-tabs,2026-04-12
3 x BCAA Drink 500 mL,,BCAA,3.8,,,Prozis,https://www.prozis.com/es/es/prozis/3-x-bcaa-drink-500-ml,2026-04-12
BCAA + Glutamine 60 servings,,BCAA,24.29,,,Prozis,https://www.prozis.com/es/es/prozis/bcaa-glutamine-60-servings,2026-04-12
2 x Recovery RTD 500 mL Orange,,BCAA,2.86,,,Prozis,https://www.prozis.com/es/es/prozis/2-x-recovery-rtd-500-ml-orange,2026-04-12
BCAA 2:1:1,,BCAA,16.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-2-1-1/10529280/,2026-04-12
BCAA Comprimidos,,BCAA,10.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-comprimidos/10529813/,2026-04-12
BCAA Esenciales 4:1:1 Cápsulas,,BCAA,12.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-esenciales-4-1-1-capsulas/10860388/,2026-04-12
Origin Intra-Workout,,BCAA,32.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-intra-workout/16872733/,2026-04-12
BCAA 4:1:1 en polvo,,BCAA,16.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-4-1-1-en-polvo/10830546/,2026-04-12
EVOCREATINE 500g,,Creatina,9.99,0.5,19.98,HSN,https://www.hsnstore.com/marcas/sport-series/evocreatine,2026-04-12
CREATINA MONOHIDRATO EN POLVO (200 MESH) 150g,,Creatina,3.94,0.15,26.27,HSN,https://www.hsnstore.com/marcas/raw-series/creatina-monohidrato-en-polvo-200-mesh,2026-04-12
CREATINA MONOHIDRATO ULTRAFINA EN POLVO (500 MESH) 500g,,Creatina,14.82,0.5,29.64,HSN,https://www.hsnstore.com/marcas/raw-series/creatina-monohidrato-ultrafina-en-polvo-500-mesh,2026-04-12
Creatina Monohidratada 500g,Máximo Rendimiento,Creatina,15.99,0.5,31.98,Nutritienda,https://www.nutritienda.com/es/bulk/creatina-monohidratada-500g,2026-04-12
CREATINA CELULAR 800g,¡Creatina monohidrato Creapure!,Creatina,26.96,0.8,33.7,Nutritienda,https://www.nutritienda.com/es/keepgoing/creatina-celular-800g,2026-04-12
CREATINA CELULAR 500g,NUTRISPORT,Creatina,20.61,0.5,41.22,Nutritienda,https://www.nutritienda.com/es/nutrisport-creatina-celular-500g,2026-04-12
100% CREATINA MONOHIDRATO 500g,Quamtrax Direct,Creatina,24.9,0.5,49.8,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/creatina-monohidrato-500g,2026-04-12
Creatina GlycoFusion 300 g,,Creatina,15.59,0.3,51.97,Prozis,https://www.prozis.com/es/es/prozis/creatina-glycofusion-300-g,2026-04-12
Monohidrato de creatina 600 g,,Creatina,32.49,0.6,54.15,Prozis,https://www.prozis.com/es/es/prozis/monohidrato-de-creatina-600-g,2026-04-12
CREATINA 306g,Cellucor,Creatina,18.95,0.306,61.93,Nutritienda,https://www.nutritienda.com/es/cellucor/creatina-306g,2026-04-12
Creatina Creapure 400g,Amazin' Foods,Creatina,24.9,0.4,62.25,Nutritienda,https://www.nutritienda.com/es/amazin-foods/creatina-creapure-400g,2026-04-12
Monohidrato de Creatina 300 g,,Creatina,18.84,0.3,62.8,Prozis,https://www.prozis.com/es/es/prozis/monohidrato-de-creatina-300-g,2026-04-12
Creatine Monohydrate 300g,QNT Sport,Creatina,19.9,0.3,66.33,Nutritienda,https://www.nutritienda.com/es/qnt-sport/creatine-monohydrate-300g,2026-04-12
Monohidrato de creatina en polvo - Chupa Chups de sandía 250g,,Creatina,16.99,0.25,67.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/monohidrato-de-creatina-en-polvo-chupa-chups-de-sandia/17526822/,2026-04-12
Creatina MicronPure 600 g,,Creatina,41.99,0.6,69.98,Prozis,https://www.prozis.com/es/es/prozis/creatina-micronpure-600-g,2026-04-12
Creatine X-Gen 500g,Scientiffic Nutrition,Creatina,36.9,0.5,73.8,Nutritienda,https://www.nutritienda.com/es/scientiffic-nutrition/creatine-x-gen-500g,2026-04-12
CR5 CREATINE 500 g,STARLABS NUTRITION,Creatina,37.35,0.5,74.7,Nutritienda,https://www.nutritienda.com/es/starlabs-nutrition-cr5-creatine-500g,2026-04-12
Crea200 Mesh Creatine Monohydrate 300g,DMI Innovative Nutrition,Creatina,22.5,0.3,75.0,Nutritienda,https://www.nutritienda.com/es/dmi-innovative-nutrition/crea200-mesh-creatine-monohydrate-300g,2026-04-12
Premium Creatine 100% Creapure 375g,Weider,Creatina,28.41,0.375,75.76,Nutritienda,https://www.nutritienda.com/es/weider/premium-creatine-100-creapure-375g,2026-04-12
Creatina Creapure® 300 g,,Creatina,22.74,0.3,75.8,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-300-g,2026-04-12
Creatina MicronPure 300 g,,Creatina,23.39,0.3,77.97,Prozis,https://www.prozis.com/es/es/prozis/creatina-micronpure-300-g,2026-04-12
100% Creatine Monohydrate 300g,Scitec,Creatina,25.5,0.3,85.0,Nutritienda,https://www.nutritienda.com/es/scitec/100-por-cien-creatine-monohydrate-300g,2026-04-12
Mega Creatine Alkaline 500g,4PRO NUTRITION,Creatina,43.55,0.5,87.1,Nutritienda,https://www.nutritienda.com/es/4pro-nutrition/mega-creatine-alkaline-500g,2026-04-12
Finisher Creatine 300g,Finisher,Creatina,26.91,0.3,89.7,Nutritienda,https://www.nutritienda.com/es/finisher/finisher-creatine-300g,2026-04-12
Creatina y Electrolitos 312g,,Creatina,29.99,0.312,96.12,Nutritienda,https://www.nutritienda.com/es/bulk/creatina-y-electrolitos-312g,2026-04-12
Platinum 100% Creatine Monohydrate 200g,Muscletech,Creatina,19.99,0.2,99.95,Nutritienda,https://www.nutritienda.com/es/muscletech/platinum-100-creatine-monohydrate-200g,2026-04-12
Platinum Creatine Plus 350g,Optimum Nutrition,Creatina,35.9,0.35,102.57,Nutritienda,https://www.nutritienda.com/es/optimum-nutrition/platinum-creatine-plus-350g,2026-04-12
Creatina MicronPure 600g,,Creatina,62.99,0.6,104.98,Prozis,https://www.prozis.com/es/es/prozis/creatina-micronpure-600g,2026-04-12
Creatina Creapure 300g,226ers,Creatina,31.5,0.3,105.0,Nutritienda,https://www.nutritienda.com/es/226ers/creatina-creapure-300g,2026-04-12
KREA7 SUPERALKALINE POWDER 500g,Creatina,Creatina,53.91,0.5,107.82,Nutritienda,https://www.nutritienda.com/es/ironmaxx/krea7-superalkaline-powder-500g,2026-04-12
Zero Creatine 300 g,,Creatina,33.38,0.3,111.27,Prozis,https://www.prozis.com/es/es/prozis/zero-creatine-300-g,2026-04-12
Zero Creatine 150 g,,Creatina,21.59,0.15,143.93,Prozis,https://www.prozis.com/es/es/prozis/zero-creatine-150-g,2026-04-12
CREATINA EXCELL (100% Creapure®) EN POLVO 150g,,Creatina,23.31,0.15,155.4,HSN,https://www.hsnstore.com/marcas/raw-series/creatina-excell-100-creapure-en-polvo,2026-04-12
Creatina Creapure® Professional 150 g,,Creatina,30.79,0.15,205.27,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-professional-150-g,2026-04-12
CREATINA 20 x 10g,NUTRISPORT,Creatina,15.84,0.01,1584.0,Nutritienda,https://www.nutritienda.com/es/nutrisport-creatina-100-20x5g,2026-04-12
THE Creatine (Creapure) |Sobres monodosis 10g,,Creatina,19.99,0.01,1999.0,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-creatine-creapure-sobres-monodosis/16630358/,2026-04-12
Kre-Alkalyn 120 VCaps,Amazin' Foods,Creatina,18.99,,,Nutritienda,https://www.nutritienda.com/es/amazin-foods/kre-alkalyn-120-capsulas-vegetales,2026-04-12
Creatine Mix 120 Caps,Soul Project,Creatina,28.0,,,Nutritienda,https://www.nutritienda.com/es/soul-project/creatine-mix-120-caps,2026-04-12
CREATOR 120 Caps,Combina 5 tipos de creatinas,Creatina,25.9,,,Nutritienda,https://www.nutritienda.com/es/biotech-usa/creator-120-caps,2026-04-12
Applied Nutrition CreaFlow™ Creatina Líquida Pura 500 ml,,Creatina,19.9,,,Nutritienda,https://www.nutritienda.com/es/applied-nutrition/creaflo-pure-liquid-creatine-500-ml,2026-04-12
KR2 Creapure PH10  120 Caps,Starlabs Nutrition,Creatina,22.86,,,Nutritienda,https://www.nutritienda.com/es/starlabs-nutrition/kr2-creapure-ph10-120-capsulas,2026-04-12
Kre-Alkalyn 100 Caps,Vitobest,Creatina,28.64,,,Nutritienda,https://www.nutritienda.com/es/vitobest/kre-alkalyn-100-capsulas,2026-04-12
KREA7 SUPERALKALINE 90 Tabs,Creatina,Creatina,28.71,,,Nutritienda,https://www.nutritienda.com/es/ironmaxx/krea7-superalkaline-90-tabs,2026-04-12
Black Line Creatine Creapure Capsules 300 VCaps,Amix Nutrition,Creatina,54.5,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/black-line-creatine-creapure-capsules-300-capsulas-vegetales,2026-04-12
Crea Caps 250 Caps,Scitec,Creatina,26.5,,,Nutritienda,https://www.nutritienda.com/es/scitec/crea-caps-250-capsulas,2026-04-12
CREATINA EXCELL 1000mg (100% Creapure®),,Creatina,24.9,,,HSN,https://www.hsnstore.com/marcas/essential-series/creatina-excell-1000mg-100-creapure,2026-04-12
CREATINA MONOHIDRATO (1000mg CREATINA),,Creatina,14.9,,,HSN,https://www.hsnstore.com/marcas/essential-series/creatina-monohidrato-1000mg-creatina,2026-04-12
EVOKALYN CREATINA ALCALINA,,Creatina,34.9,,,HSN,https://www.hsnstore.com/marcas/sport-series/evokalyn-creatina-alcalina,2026-04-12
Creatina Creapure® 80 cápsulas,,Creatina,23.99,,,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-80-capsulas,2026-04-12
Monohidrato de Creatina 90 comprimidos,,Creatina,17.99,,,Prozis,https://www.prozis.com/es/es/prozis/monohidrato-de-creatina-90-comprimidos,2026-04-12
Creatine Creapure® 320 caps,,Creatina,67.52,,,Prozis,https://www.prozis.com/es/es/prozis/creatine-creapure-320-caps,2026-04-12
Creatina Creapure® 90 comprimidos masticables,,Creatina,34.99,,,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-90-comprimidos-masticables,2026-04-12
Creatina Monohidrato en Tabletas,,Creatina,27.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato-en-tabletas/10575029/,2026-04-12
Creatina Monohidrato en polvo,,Creatina,6.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato-en-polvo/10530050/,2026-04-12
Gominolas de creatina,,Creatina,8.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/gominolas-de-creatina/13528283/,2026-04-12
Creatina Micronizada Creapure® Cápsulas,,Creatina,37.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-micronizada-creapure-capsulas/10574930/,2026-04-12
Pack Get Stronger,,Creatina,39.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-get-stronger/14970298/,2026-04-12
THE Creatine Creapure®,,Creatina,25.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-creatine-creapure/10529740/,2026-04-12
Pack Essentials Protein,,Creatina,45.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-essentials-protein/15758094/,2026-04-12
Pack Gainer,,Creatina,59.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-gainer/13437013/,2026-04-12
Creatina HCL,,Creatina,6.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-hcl/17169974/,2026-04-12
THE Electropower | Creatina + Electrolitos,,Creatina,24.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electropower-creatina-electrolitos/16663175/,2026-04-12
THE Electrofuel,,Creatina,17.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electrofuel/16570434/,2026-04-12
Mezcla de Vitaminas,,Creatina,23.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-de-vitaminas/11060427/,2026-04-12
Pack Clear Performance,,Creatina,41.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-clear-performance/15288056/,2026-04-12
BICARBONATO DE SODIO EN POLVO 150g,,Pre-Entreno,0.86,0.15,5.73,HSN,https://www.hsnstore.com/marcas/raw-series/bicarbonato-de-sodio-en-polvo,2026-04-12
ISOMALTULOSA (Palatinose™) EN POLVO 1kg,,Pre-Entreno,7.92,1.0,7.92,HSN,https://www.hsnstore.com/marcas/raw-series/isomaltulosa-palatinose-en-polvo,2026-04-12
Pre-workout Protein Mug Cake - Speculoos 400 g,,Pre-Entreno,8.99,0.4,22.47,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-speculoos-400-g,2026-04-12
Pre-workout Protein Mug Cake - Café y Caramelo 400 g,,Pre-Entreno,8.99,0.4,22.47,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-cafe-y-caramelo-400-g,2026-04-12
Pre-workout Protein Mug Cake - Chocolate 400 g,,Pre-Entreno,8.99,0.4,22.47,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-chocolate-400-g,2026-04-12
Pre-workout Protein Mug Cake Premix - Vainilla y Pepitas de Chocolate 400 g,,Pre-Entreno,8.99,0.4,22.47,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-premix-vainilla-y-pepitas-de-chocolate-400-g,2026-04-12
Energy Charge - Preentrenamiento 800 g,,Pre-Entreno,19.54,0.8,24.42,Prozis,https://www.prozis.com/es/es/prozis/energy-charge-preentrenamiento-800-g,2026-04-12
Beta-alanina 900 g,,Pre-Entreno,23.99,0.9,26.66,Prozis,https://www.prozis.com/es/es/prozis/beta-alanina-900-g,2026-04-12
N.O. Shox 1320g,,Pre-Entreno,35.99,1.32,27.27,Prozis,https://www.prozis.com/es/es/prozis/n.o.-shox-1320g,2026-04-12
BETA-ALANINA EN POLVO 150g,,Pre-Entreno,4.5,0.15,30.0,HSN,https://www.hsnstore.com/marcas/raw-series/beta-alanina-en-polvo,2026-04-12
Beta-alanina 300 g,,Pre-Entreno,9.74,0.3,32.47,Prozis,https://www.prozis.com/es/es/prozis/beta-alanina-300-g,2026-04-12
N.O. Shox 660 g,,Pre-Entreno,22.49,0.66,34.08,Prozis,https://www.prozis.com/es/es/prozis/n.o.-shox-660-g,2026-04-12
"SMOOTH-8 Hybrid Protein 2,3Kg",AMIX NUTRITION,Pre-Entreno,87.5,2.3,38.04,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-smooth-8-hybrid-protein-2300g,2026-04-12
PRE WORKOUT EXPLOSIVE 1 Kg,GOLDNUTRITION,Pre-Entreno,39.59,1.0,39.59,Nutritienda,https://www.nutritienda.com/es/gold-nutrition-pre-workout-explosive-1000g,2026-04-12
L-arginina 300 g,,Pre-Entreno,12.74,0.3,42.47,Prozis,https://www.prozis.com/es/es/prozis/l-arginina-300-g,2026-04-12
Glycopump® (GLICEROL) EN POLVO 150g,,Pre-Entreno,6.79,0.15,45.27,HSN,https://www.hsnstore.com/marcas/raw-series/glycopump-glicerol-en-polvo,2026-04-12
L-CITRULINA BASE EN POLVO 150g,,Pre-Entreno,7.35,0.15,49.0,HSN,https://www.hsnstore.com/marcas/raw-series/l-citrulina-base-en-polvo,2026-04-12
B10 PUMP EFFECT PRE WORKOUT 400g,NUTRISPORT,Pre-Entreno,20.79,0.4,51.97,Nutritienda,https://www.nutritienda.com/es/nutrisport/b-10-pump-effect-400g,2026-04-12
PRE-WORKOUT WOW! 400g,¡Eficacia y rendimiento!,Pre-Entreno,21.9,0.4,54.75,Nutritienda,https://www.nutritienda.com/es/amazin-foods/pre-workout-wow-pre-entrenamiento-400g,2026-04-12
L-ARGININA ALFA-CETOGLUTARATO (AAKG) EN POLVO 150g,,Pre-Entreno,8.49,0.15,56.6,HSN,https://www.hsnstore.com/marcas/raw-series/arginina-alfa-cetoglutarato-aakg-en-polvo,2026-04-12
D-RIBOSA EN POLVO 150g,,Pre-Entreno,8.49,0.15,56.6,HSN,https://www.hsnstore.com/marcas/raw-series/d-ribosa-en-polvo,2026-04-12
ÁCIDO MÁLICO EN POLVO 150g,,Pre-Entreno,8.49,0.15,56.6,HSN,https://www.hsnstore.com/marcas/raw-series/acido-malico-en-polvo,2026-04-12
L-citrulina malato 300g,,Pre-Entreno,17.99,0.3,59.97,Prozis,https://www.prozis.com/es/es/prozis/l-citrulina-malato-300g,2026-04-12
Super Shock 600g,Quamtrax,Pre-Entreno,41.9,0.6,69.83,Nutritienda,https://www.nutritienda.com/es/quamtrax/super-shock-600g,2026-04-12
Moonstruck 2 Zero 540g,Zoomad Labs,Pre-Entreno,39.95,0.54,73.98,Nutritienda,https://www.nutritienda.com/es/zoomad-labs/moonstruck-2-zero-540g,2026-04-12
BETA-ALANINA (CarnoSyn®) EN POLVO 150g,,Pre-Entreno,11.34,0.15,75.6,HSN,https://www.hsnstore.com/marcas/raw-series/beta-alanina-carnosyn-en-polvo,2026-04-12
Monns Truck II 510g,Zoomad Labs,Pre-Entreno,39.95,0.51,78.33,Nutritienda,https://www.nutritienda.com/es/zoomad-labs/monns-truck-ii-510g,2026-04-12
NITROX THERAPY 340g,Biotech USA,Pre-Entreno,26.9,0.34,79.12,Nutritienda,https://www.nutritienda.com/es/biotech-usa/nitrox-therapy-pre-entrenamiento-340g,2026-04-12
Impact Pre-Entreno – Venom 440g,,Pre-Entreno,34.99,0.44,79.52,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-pre-entreno-venom/17585477/,2026-04-12
Prework Core Series 300g,Procell,Pre-Entreno,24.09,0.3,80.3,Nutritienda,https://www.nutritienda.com/es/procell/prework-core-series-300g,2026-04-12
L-citrulina malato 150 g,,Pre-Entreno,12.59,0.15,83.93,Prozis,https://www.prozis.com/es/es/prozis/l-citrulina-malato-150-g,2026-04-12
Outlift Clinical 500g,Nutrex,Pre-Entreno,43.9,0.5,87.8,Nutritienda,https://www.nutritienda.com/es/nutrex/outlift-clinical-500g,2026-04-12
Yeep Pump No Caff 360g,Amix Nutrition,Pre-Entreno,32.5,0.36,90.28,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/yeep-pump-no-caff-360g,2026-04-12
Pump Caffeine Free 330g,Biotech USA,Pre-Entreno,29.9,0.33,90.61,Nutritienda,https://www.nutritienda.com/es/biotech-usa/pump-caffeine-free-330g,2026-04-12
EVORDX 2.0 150g,,Pre-Entreno,14.95,0.15,99.67,HSN,https://www.hsnstore.com/marcas/sport-series/evordx-2-0,2026-04-12
Pre Workout 300g,226ers,Pre-Entreno,31.5,0.3,105.0,Nutritienda,https://www.nutritienda.com/es/226ers/pre-workout-300g,2026-04-12
